oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
206,031613203000,kędzierzyńsko-kozielski,625.0,2020,1603,powiat,16,opolskie,5572.19
207,031613204000,kluczborski,852.0,2020,1604,powiat,16,opolskie,4777.86
208,031613205000,krapkowicki,442.0,2020,1605,powiat,16,opolskie,5548.87
55,052615210000,skarżyski,395.0,2020,2610,powiat,26,świętokrzyskie,4758.09
209,031613208000,oleski,973.0,2020,1608,powiat,16,opolskie,4479.24
31,060611020000,zamojski,1870.0,2020,0620,powiat,06,lubelskie,4135.39
298,060611062000,Chełm,35.0,2020,0662,miasto na prawach powiatu,06,lubelskie,4581.83
211,031613211000,strzelecki,744.0,2020,1611,powiat,16,opolskie,4854.78
212,031613261000,Opole,149.0,2020,1661,miasto na prawach powiatu,16,opolskie,5523.14
8,040410615000,toruński,1230.0,2020,0415,powiat,04,kujawsko-pomorskie,4394.7
214,040410702000,brodnicki,1040.0,2020,0402,powiat,04,kujawsko-pomorskie,4291.16
215,040410705000,golubsko-dobrzyński,613.0,2020,0405,powiat,04,kujawsko-pomorskie,4974.93
57,062013761000,Białystok,102.0,2020,2061,miasto na prawach powiatu,20,podlaskie,5126.79
216,040410706000,grudziądzki,728.0,2020,0406,powiat,04,kujawsko-pomorskie,4677.24
58,062013963000,Suwałki,66.0,2020,2063,miasto na prawach powiatu,20,podlaskie,4562.69
217,040410712000,rypiński,586.0,2020,0412,powiat,04,kujawsko-pomorskie,4219.07
218,040410717000,wąbrzeski,502.0,2020,0417,powiat,04,kujawsko-pomorskie,4709.17
66,040410762000,Grudziądz,58.0,2020,0462,miasto na prawach powiatu,04,kujawsko-pomorskie,4414.17
219,040410808000,lipnowski,1016.0,2020,0408,powiat,04,kujawsko-pomorskie,4106.9
220,040410811000,radziejowski,607.0,2020,0411,powiat,04,kujawsko-pomorskie,4320.09
221,040410864000,Włocławek,84.0,2020,0464,miasto na prawach powiatu,04,kujawsko-pomorskie,4889.3
222,040416707000,inowrocławski,1225.0,2020,0407,powiat,04,kujawsko-pomorskie,4597.12
223,040416709000,mogileński,675.0,2020,0409,powiat,04,kujawsko-pomorskie,4263.04
224,040416710000,nakielski,1120.0,2020,0410,powiat,04,kujawsko-pomorskie,4423.48
225,040416719000,żniński,985.0,2020,0419,powiat,04,kujawsko-pomorskie,4285.37
226,040416813000,sępoleński,791.0,2020,0413,powiat,04,kujawsko-pomorskie,4308.57
227,040416814000,świecki,1474.0,2020,0414,powiat,04,kujawsko-pomorskie,4858.33
228,040416816000,tucholski,1075.0,2020,0416,powiat,04,kujawsko-pomorskie,4208.91
229,042214004000,gdański,794.0,2020,2204,powiat,22,pomorskie,5014.67
230,042214005000,kartuski,1121.0,2020,2205,powiat,22,pomorskie,4508.01
231,042214011000,pucki,581.0,2020,2211,powiat,22,pomorskie,4741.1
232,042214015000,wejherowski,1285.0,2020,2215,powiat,22,pomorskie,4620.89
22,042214101000,bytowski,2192.0,2020,2201,powiat,22,pomorskie,4905.51
233,042214108000,lęborski,708.0,2020,2208,powiat,22,pomorskie,4800.59
