oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Bezrobotni zarejestrowani pozostający bez pracy dłużej niż 1 rok|ogółem
321,061813462000,Przemyśl,46.0,2020,1862,miasto na prawach powiatu,18,podkarpackie,1681.0
210,031613209000,opolski,1534.0,2020,1609,powiat,16,opolskie,875.0
234,042214163000,Słupsk,43.0,2020,2263,miasto na prawach powiatu,22,pomorskie,544.0
242,060611109000,lubelski,1680.0,2020,0609,powiat,06,lubelskie,1239.0
1,011212303000,chrzanowski,370.0,2020,1203,powiat,12,małopolskie,1206.0
102,012414766000,Gliwice,134.0,2020,2466,miasto na prawach powiatu,24,śląskie,976.0
103,012414778000,Zabrze,80.0,2020,2478,miasto na prawach powiatu,24,śląskie,1104.0
71,012414863000,Chorzów,33.0,2020,2463,miasto na prawach powiatu,24,śląskie,561.0
104,012414869000,Katowice,165.0,2020,2469,miasto na prawach powiatu,24,śląskie,850.0
61,012414870000,Mysłowice,66.0,2020,2470,miasto na prawach powiatu,24,śląskie,599.0
62,012414872000,Ruda Śląska,78.0,2020,2472,miasto na prawach powiatu,24,śląskie,196.0
105,012414874000,Siemianowice Śląskie,25.0,2020,2474,miasto na prawach powiatu,24,śląskie,278.0
106,012414876000,Świętochłowice,13.0,2020,2476,miasto na prawach powiatu,24,śląskie,269.0
110,012414967000,Jastrzębie-Zdrój,85.0,2020,2467,miasto na prawach powiatu,24,śląskie,615.0
111,012414973000,Rybnik,148.0,2020,2473,miasto na prawach powiatu,24,śląskie,763.0
316,061813361000,Krosno,44.0,2020,1861,miasto na prawach powiatu,18,podkarpackie,277.0
112,012414979000,Żory,65.0,2020,2479,miasto na prawach powiatu,24,śląskie,274.0
116,012415075000,Sosnowiec,91.0,2020,2475,miasto na prawach powiatu,24,śląskie,1653.0
117,012415108000,mikołowski,233.0,2020,2408,powiat,24,śląskie,482.0
59,012415177000,Tychy,82.0,2020,2477,miasto na prawach powiatu,24,śląskie,461.0
175,023216663000,Świnoujście,202.0,2020,3263,miasto na prawach powiatu,32,zachodniopomorskie,190.0
333,061813664000,Tarnobrzeg,85.0,2020,1864,miasto na prawach powiatu,18,podkarpackie,608.0
42,030210422000,wołowski,675.0,2020,0222,powiat,02,dolnośląskie,1087.0
44,030210564000,Wrocław,293.0,2020,0264,miasto na prawach powiatu,02,dolnośląskie,3045.0
45,040410661000,Bydgoszcz,176.0,2020,0461,miasto na prawach powiatu,04,kujawsko-pomorskie,1906.0
213,040410663000,Toruń,116.0,2020,0463,miasto na prawach powiatu,04,kujawsko-pomorskie,1831.0
46,040410704000,chełmiński,527.0,2020,0404,powiat,04,kujawsko-pomorskie,1094.0
374,071427062000,Płock,88.0,2020,1462,miasto na prawach powiatu,14,mazowieckie,2063.0
72,011212001000,bocheński,649.0,2020,1201,powiat,12,małopolskie,544.0
74,011212008000,miechowski,676.0,2020,1208,powiat,12,małopolskie,422.0
75,011212009000,myślenicki,673.0,2020,1209,powiat,12,małopolskie,362.0
76,011212014000,proszowicki,415.0,2020,1214,powiat,12,małopolskie,363.0
77,011212019000,wielicki,411.0,2020,1219,powiat,12,małopolskie,1087.0
78,011212161000,Kraków,327.0,2020,1261,miasto na prawach powiatu,12,małopolskie,5067.0
79,011212205000,gorlicki,966.0,2020,1205,powiat,12,małopolskie,1025.0
80,011212207000,limanowski,951.0,2020,1207,powiat,12,małopolskie,1701.0
81,011212262000,Nowy Sącz,58.0,2020,1262,miasto na prawach powiatu,12,małopolskie,422.0
82,011212312000,olkuski,618.0,2020,1212,powiat,12,małopolskie,1645.0
83,011212313000,oświęcimski,406.0,2020,1213,powiat,12,małopolskie,1290.0
84,011212318000,wadowicki,646.0,2020,1218,powiat,12,małopolskie,1462.0
85,011212402000,brzeski,591.0,2020,1202,powiat,12,małopolskie,796.0
86,011212404000,dąbrowski,530.0,2020,1204,powiat,12,małopolskie,1207.0
67,040410801000,aleksandrowski,475.0,2020,0401,powiat,04,kujawsko-pomorskie,1330.0
88,011216915000,suski,686.0,2020,1215,powiat,12,małopolskie,583.0
89,011216917000,tatrzański,472.0,2020,1217,powiat,12,małopolskie,1188.0
47,042214010000,nowodworski,674.0,2020,2210,powiat,22,pomorskie,609.0
90,012414402000,bielski,459.0,2020,2402,powiat,24,śląskie,775.0
91,012414403000,cieszyński,730.0,2020,2403,powiat,24,śląskie,1503.0
92,012414417000,żywiecki,1040.0,2020,2417,powiat,24,śląskie,1594.0
93,012414461000,Bielsko-Biała,125.0,2020,2461,miasto na prawach powiatu,24,śląskie,781.0
94,012414507000,lubliniecki,822.0,2020,2407,powiat,24,śląskie,728.0
95,012414513000,tarnogórski,644.0,2020,2413,powiat,24,śląskie,1300.0
96,012414562000,Bytom,69.0,2020,2462,miasto na prawach powiatu,24,śląskie,1670.0
98,012414606000,kłobucki,889.0,2020,2406,powiat,24,śląskie,950.0
99,012414609000,myszkowski,479.0,2020,2409,powiat,24,śląskie,593.0
100,012414664000,Częstochowa,160.0,2020,2464,miasto na prawach powiatu,24,śląskie,1241.0
101,012414705000,gliwicki,664.0,2020,2405,powiat,24,śląskie,595.0
107,012414911000,raciborski,544.0,2020,2411,powiat,24,śląskie,837.0
108,012414912000,rybnicki,224.0,2020,2412,powiat,24,śląskie,426.0
109,012414915000,wodzisławski,287.0,2020,2415,powiat,24,śląskie,1170.0
113,012415001000,będziński,364.0,2020,2401,powiat,24,śląskie,1042.0
114,012415016000,zawierciański,1003.0,2020,2416,powiat,24,śląskie,1042.0
115,012415065000,Dąbrowa Górnicza,189.0,2020,2465,miasto na prawach powiatu,24,śląskie,943.0
3,012415068000,Jaworzno,153.0,2020,2468,miasto na prawach powiatu,24,śląskie,527.0
118,012415110000,pszczyński,471.0,2020,2410,powiat,24,śląskie,533.0
63,012415114000,bieruńsko-lędziński,158.0,2020,2414,powiat,24,śląskie,164.0
119,020811303000,międzyrzecki,1388.0,2020,0803,powiat,08,lubuskie,712.0
120,020811305000,słubicki,999.0,2020,0805,powiat,08,lubuskie,159.0
121,020811306000,strzelecko-drezdenecki,1248.0,2020,0806,powiat,08,lubuskie,558.0
122,020811307000,sulęciński,1178.0,2020,0807,powiat,08,lubuskie,236.0
124,020811402000,krośnieński,1391.0,2020,0802,powiat,08,lubuskie,582.0
125,020811404000,nowosolski,771.0,2020,0804,powiat,08,lubuskie,592.0
126,020811408000,świebodziński,937.0,2020,0808,powiat,08,lubuskie,353.0
9,020811409000,zielonogórski,1350.0,2020,0809,powiat,08,lubuskie,676.0
127,020811410000,żagański,1132.0,2020,0810,powiat,08,lubuskie,542.0
128,020811411000,żarski,1393.0,2020,0811,powiat,08,lubuskie,681.0
129,020811412000,wschowski,624.0,2020,0812,powiat,08,lubuskie,497.0
10,020811462000,Zielona Góra,277.0,2020,0862,miasto na prawach powiatu,08,lubuskie,638.0
130,023015706000,jarociński,587.0,2020,3006,powiat,30,wielkopolskie,385.0
131,023015707000,kaliski,1160.0,2020,3007,powiat,30,wielkopolskie,318.0
132,023015708000,kępiński,608.0,2020,3008,powiat,30,wielkopolskie,235.0
48,042214361000,Gdańsk,262.0,2020,2261,miasto na prawach powiatu,22,pomorskie,3067.0
133,023015712000,krotoszyński,714.0,2020,3012,powiat,30,wielkopolskie,457.0
240,042214362000,Gdynia,135.0,2020,2262,miasto na prawach powiatu,22,pomorskie,959.0
134,023015717000,ostrowski,1160.0,2020,3017,powiat,30,wielkopolskie,592.0
135,023015718000,ostrzeszowski,773.0,2020,3018,powiat,30,wielkopolskie,404.0
49,042214364000,Sopot,17.0,2020,2264,miasto na prawach powiatu,22,pomorskie,120.0
41,042217202000,chojnicki,1364.0,2020,2202,powiat,22,pomorskie,1521.0
136,023015720000,pleszewski,713.0,2020,3020,powiat,30,wielkopolskie,423.0
70,023015761000,Kalisz,69.0,2020,3061,miasto na prawach powiatu,30,wielkopolskie,533.0
137,023015803000,gnieźnieński,1255.0,2020,3003,powiat,30,wielkopolskie,683.0
138,023015809000,kolski,1011.0,2020,3009,powiat,30,wielkopolskie,343.0
139,023015823000,słupecki,838.0,2020,3023,powiat,30,wielkopolskie,698.0
140,023015827000,turecki,929.0,2020,3027,powiat,30,wielkopolskie,443.0
141,023015830000,wrzesiński,704.0,2020,3030,powiat,30,wielkopolskie,495.0
142,023015862000,Konin,82.0,2020,3062,miasto na prawach powiatu,30,wielkopolskie,1012.0
143,023015904000,gostyński,810.0,2020,3004,powiat,30,wielkopolskie,777.0
144,023015905000,grodziski,642.0,2020,3005,powiat,30,wielkopolskie,311.0
145,023015911000,kościański,722.0,2020,3011,powiat,30,wielkopolskie,327.0
146,023015913000,leszczyński,806.0,2020,3013,powiat,30,wielkopolskie,245.0
147,023015914000,międzychodzki,736.0,2020,3014,powiat,30,wielkopolskie,238.0
148,023015915000,nowotomyski,1014.0,2020,3015,powiat,30,wielkopolskie,223.0
149,023015922000,rawicki,554.0,2020,3022,powiat,30,wielkopolskie,390.0
50,042815518000,gołdapski,772.0,2020,2818,powiat,28,warmińsko-mazurskie,339.0
150,023015929000,wolsztyński,680.0,2020,3029,powiat,30,wielkopolskie,184.0
152,023016001000,chodzieski,685.0,2020,3001,powiat,30,wielkopolskie,640.0
4,023016002000,czarnkowsko-trzcianecki,1806.0,2020,3002,powiat,30,wielkopolskie,342.0
51,042815519000,węgorzewski,693.0,2020,2819,powiat,28,warmińsko-mazurskie,344.0
154,023016028000,wągrowiecki,1040.0,2020,3028,powiat,30,wielkopolskie,438.0
155,023016031000,złotowski,1660.0,2020,3031,powiat,30,wielkopolskie,684.0
156,023016116000,obornicki,711.0,2020,3016,powiat,30,wielkopolskie,231.0
260,042815662000,Olsztyn,88.0,2020,2862,miasto na prawach powiatu,28,warmińsko-mazurskie,828.0
157,023016124000,szamotulski,1119.0,2020,3024,powiat,30,wielkopolskie,403.0
158,023016125000,średzki,624.0,2020,3025,powiat,30,wielkopolskie,706.0
159,023016126000,śremski,574.0,2020,3026,powiat,30,wielkopolskie,143.0
65,023016264000,Poznań,262.0,2020,3064,miasto na prawach powiatu,30,wielkopolskie,1663.0
160,023216301000,białogardzki,845.0,2020,3201,powiat,32,zachodniopomorskie,1311.0
161,023216308000,kołobrzeski,725.0,2020,3208,powiat,32,zachodniopomorskie,127.0
162,023216313000,sławieński,1043.0,2020,3213,powiat,32,zachodniopomorskie,1090.0
163,023216361000,Koszalin,98.0,2020,3261,miasto na prawach powiatu,32,zachodniopomorskie,1175.0
164,023216402000,choszczeński,1328.0,2020,3202,powiat,32,zachodniopomorskie,1053.0
165,023216412000,pyrzycki,726.0,2020,3212,powiat,32,zachodniopomorskie,584.0
166,023216415000,szczecinecki,1766.0,2020,3215,powiat,32,zachodniopomorskie,1840.0
167,023216416000,świdwiński,1093.0,2020,3216,powiat,32,zachodniopomorskie,732.0
168,023216418000,łobeski,1065.0,2020,3218,powiat,32,zachodniopomorskie,941.0
169,023216562000,Szczecin,301.0,2020,3262,miasto na prawach powiatu,32,zachodniopomorskie,1661.0
170,023216604000,goleniowski,1616.0,2020,3204,powiat,32,zachodniopomorskie,781.0
171,023216605000,gryficki,1021.0,2020,3205,powiat,32,zachodniopomorskie,426.0
172,023216606000,gryfiński,1870.0,2020,3206,powiat,32,zachodniopomorskie,1137.0
173,023216607000,kamieński,1007.0,2020,3207,powiat,32,zachodniopomorskie,1124.0
174,023216611000,policki,665.0,2020,3211,powiat,32,zachodniopomorskie,634.0
6,023216614000,stargardzki,1520.0,2020,3214,powiat,32,zachodniopomorskie,1183.0
176,030210101000,bolesławiecki,1304.0,2020,0201,powiat,02,dolnośląskie,582.0
177,030210105000,jaworski,582.0,2020,0205,powiat,02,dolnośląskie,824.0
178,030210106000,jeleniogórski,627.0,2020,0206,powiat,02,dolnośląskie,864.0
179,030210107000,kamiennogórski,396.0,2020,0207,powiat,02,dolnośląskie,299.0
180,030210110000,lubański,428.0,2020,0210,powiat,02,dolnośląskie,550.0
53,051011819000,zduńskowolski,369.0,2020,1019,powiat,10,łódzkie,789.0
181,030210112000,lwówecki,710.0,2020,0212,powiat,02,dolnośląskie,635.0
182,030210125000,zgorzelecki,839.0,2020,0225,powiat,02,dolnośląskie,654.0
183,030210126000,złotoryjski,576.0,2020,0226,powiat,02,dolnośląskie,902.0
184,030210161000,Jelenia Góra,109.0,2020,0261,miasto na prawach powiatu,02,dolnośląskie,412.0
185,030210203000,głogowski,443.0,2020,0203,powiat,02,dolnośląskie,967.0
186,030210204000,górowski,738.0,2020,0204,powiat,02,dolnośląskie,796.0
187,030210209000,legnicki,744.0,2020,0209,powiat,02,dolnośląskie,840.0
188,030210211000,lubiński,712.0,2020,0211,powiat,02,dolnośląskie,495.0
189,030210216000,polkowicki,779.0,2020,0216,powiat,02,dolnośląskie,733.0
190,030210262000,Legnica,56.0,2020,0262,miasto na prawach powiatu,02,dolnośląskie,922.0
191,030210308000,kłodzki,1642.0,2020,0208,powiat,02,dolnośląskie,2570.0
192,030210319000,świdnicki,741.0,2020,0219,powiat,02,dolnośląskie,1277.0
193,030210321000,wałbrzyski,430.0,2020,0221,powiat,02,dolnośląskie,612.0
194,030210365000,Wałbrzych,85.0,2020,0265,miasto na prawach powiatu,02,dolnośląskie,679.0
195,030210413000,milicki,715.0,2020,0213,powiat,02,dolnośląskie,386.0
196,030210414000,oleśnicki,1049.0,2020,0214,powiat,02,dolnośląskie,905.0
197,030210415000,oławski,524.0,2020,0215,powiat,02,dolnośląskie,648.0
198,030210417000,strzeliński,622.0,2020,0217,powiat,02,dolnośląskie,756.0
199,030210418000,średzki,704.0,2020,0218,powiat,02,dolnośląskie,512.0
200,030210420000,trzebnicki,1025.0,2020,0220,powiat,02,dolnośląskie,680.0
43,030210423000,wrocławski,1118.0,2020,0223,powiat,02,dolnośląskie,545.0
201,031613101000,brzeski,876.0,2020,1601,powiat,16,opolskie,930.0
202,031613102000,głubczycki,673.0,2020,1602,powiat,16,opolskie,667.0
203,031613106000,namysłowski,748.0,2020,1606,powiat,16,opolskie,561.0
204,031613107000,nyski,1224.0,2020,1607,powiat,16,opolskie,1285.0
205,031613110000,prudnicki,572.0,2020,1610,powiat,16,opolskie,641.0
206,031613203000,kędzierzyńsko-kozielski,625.0,2020,1603,powiat,16,opolskie,1273.0
207,031613204000,kluczborski,852.0,2020,1604,powiat,16,opolskie,756.0
208,031613205000,krapkowicki,442.0,2020,1605,powiat,16,opolskie,732.0
55,052615210000,skarżyski,395.0,2020,2610,powiat,26,świętokrzyskie,1837.0
209,031613208000,oleski,973.0,2020,1608,powiat,16,opolskie,459.0
31,060611020000,zamojski,1870.0,2020,0620,powiat,06,lubelskie,1785.0
298,060611062000,Chełm,35.0,2020,0662,miasto na prawach powiatu,06,lubelskie,1127.0
211,031613211000,strzelecki,744.0,2020,1611,powiat,16,opolskie,546.0
212,031613261000,Opole,149.0,2020,1661,miasto na prawach powiatu,16,opolskie,981.0
8,040410615000,toruński,1230.0,2020,0415,powiat,04,kujawsko-pomorskie,1470.0
214,040410702000,brodnicki,1040.0,2020,0402,powiat,04,kujawsko-pomorskie,1017.0
215,040410705000,golubsko-dobrzyński,613.0,2020,0405,powiat,04,kujawsko-pomorskie,1006.0
57,062013761000,Białystok,102.0,2020,2061,miasto na prawach powiatu,20,podlaskie,3852.0
216,040410706000,grudziądzki,728.0,2020,0406,powiat,04,kujawsko-pomorskie,899.0
58,062013963000,Suwałki,66.0,2020,2063,miasto na prawach powiatu,20,podlaskie,559.0
217,040410712000,rypiński,586.0,2020,0412,powiat,04,kujawsko-pomorskie,705.0
218,040410717000,wąbrzeski,502.0,2020,0417,powiat,04,kujawsko-pomorskie,861.0
66,040410762000,Grudziądz,58.0,2020,0462,miasto na prawach powiatu,04,kujawsko-pomorskie,1632.0
219,040410808000,lipnowski,1016.0,2020,0408,powiat,04,kujawsko-pomorskie,1553.0
220,040410811000,radziejowski,607.0,2020,0411,powiat,04,kujawsko-pomorskie,1523.0
221,040410864000,Włocławek,84.0,2020,0464,miasto na prawach powiatu,04,kujawsko-pomorskie,2409.0
222,040416707000,inowrocławski,1225.0,2020,0407,powiat,04,kujawsko-pomorskie,3280.0
223,040416709000,mogileński,675.0,2020,0409,powiat,04,kujawsko-pomorskie,794.0
224,040416710000,nakielski,1120.0,2020,0410,powiat,04,kujawsko-pomorskie,1481.0
225,040416719000,żniński,985.0,2020,0419,powiat,04,kujawsko-pomorskie,1020.0
226,040416813000,sępoleński,791.0,2020,0413,powiat,04,kujawsko-pomorskie,829.0
227,040416814000,świecki,1474.0,2020,0414,powiat,04,kujawsko-pomorskie,949.0
228,040416816000,tucholski,1075.0,2020,0416,powiat,04,kujawsko-pomorskie,890.0
229,042214004000,gdański,794.0,2020,2204,powiat,22,pomorskie,907.0
230,042214005000,kartuski,1121.0,2020,2205,powiat,22,pomorskie,450.0
231,042214011000,pucki,581.0,2020,2211,powiat,22,pomorskie,518.0
232,042214015000,wejherowski,1285.0,2020,2215,powiat,22,pomorskie,1406.0
22,042214101000,bytowski,2192.0,2020,2201,powiat,22,pomorskie,1162.0
233,042214108000,lęborski,708.0,2020,2208,powiat,22,pomorskie,956.0
23,042214112000,słupski,2304.0,2020,2212,powiat,22,pomorskie,1070.0
235,042214207000,kwidzyński,835.0,2020,2207,powiat,22,pomorskie,906.0
236,042214209000,malborski,494.0,2020,2209,powiat,22,pomorskie,725.0
237,042214213000,starogardzki,1345.0,2020,2213,powiat,22,pomorskie,1067.0
238,042214214000,tczewski,697.0,2020,2214,powiat,22,pomorskie,1223.0
239,042214216000,sztumski,731.0,2020,2216,powiat,22,pomorskie,322.0
241,042217203000,człuchowski,1575.0,2020,2203,powiat,22,pomorskie,818.0
243,042217206000,kościerski,1166.0,2020,2206,powiat,22,pomorskie,782.0
244,042815402000,braniewski,1202.0,2020,2802,powiat,28,warmińsko-mazurskie,1200.0
245,042815403000,działdowski,954.0,2020,2803,powiat,28,warmińsko-mazurskie,1534.0
246,042815404000,elbląski,1416.0,2020,2804,powiat,28,warmińsko-mazurskie,1291.0
247,042815407000,iławski,1385.0,2020,2807,powiat,28,warmińsko-mazurskie,417.0
248,042815412000,nowomiejski,694.0,2020,2812,powiat,28,warmińsko-mazurskie,562.0
24,042815415000,ostródzki,1766.0,2020,2815,powiat,28,warmińsko-mazurskie,1494.0
249,042815461000,Elbląg,80.0,2020,2861,miasto na prawach powiatu,28,warmińsko-mazurskie,994.0
250,042815505000,ełcki,1113.0,2020,2805,powiat,28,warmińsko-mazurskie,1405.0
251,042815506000,giżycki,1120.0,2020,2806,powiat,28,warmińsko-mazurskie,569.0
252,042815513000,olecki,874.0,2020,2813,powiat,28,warmińsko-mazurskie,577.0
253,042815516000,piski,1775.0,2020,2816,powiat,28,warmińsko-mazurskie,783.0
254,042815601000,bartoszycki,1307.0,2020,2801,powiat,28,warmińsko-mazurskie,1436.0
255,042815608000,kętrzyński,1213.0,2020,2808,powiat,28,warmińsko-mazurskie,1715.0
256,042815609000,lidzbarski,925.0,2020,2809,powiat,28,warmińsko-mazurskie,673.0
257,042815610000,mrągowski,1065.0,2020,2810,powiat,28,warmińsko-mazurskie,539.0
258,042815611000,nidzicki,961.0,2020,2811,powiat,28,warmińsko-mazurskie,211.0
25,042815614000,olsztyński,2837.0,2020,2814,powiat,28,warmińsko-mazurskie,1520.0
259,042815617000,szczycieński,1933.0,2020,2817,powiat,28,warmińsko-mazurskie,727.0
261,051011506000,łódzki wschodni,500.0,2020,1006,powiat,10,łódzkie,863.0
262,051011508000,pabianicki,492.0,2020,1008,powiat,10,łódzkie,1345.0
263,051011520000,zgierski,855.0,2020,1020,powiat,10,łódzkie,1377.0
264,051011521000,brzeziński,359.0,2020,1021,powiat,10,łódzkie,393.0
265,051011661000,Łódź,293.0,2020,1061,miasto na prawach powiatu,10,łódzkie,9496.0
266,051011701000,bełchatowski,968.0,2020,1001,powiat,10,łódzkie,1245.0
267,051011707000,opoczyński,1040.0,2020,1007,powiat,10,łódzkie,690.0
26,051011710000,piotrkowski,1429.0,2020,1010,powiat,10,łódzkie,760.0
27,051011712000,radomszczański,1443.0,2020,1012,powiat,10,łódzkie,897.0
268,051011716000,tomaszowski,1025.0,2020,1016,powiat,10,łódzkie,1464.0
269,051011762000,Piotrków Trybunalski,67.0,2020,1062,miasto na prawach powiatu,10,łódzkie,822.0
270,051011803000,łaski,618.0,2020,1003,powiat,10,łódzkie,577.0
271,051011809000,pajęczański,804.0,2020,1009,powiat,10,łódzkie,688.0
272,051011811000,poddębicki,881.0,2020,1011,powiat,10,łódzkie,612.0
273,051011814000,sieradzki,1491.0,2020,1014,powiat,10,łódzkie,1216.0
274,051011817000,wieluński,926.0,2020,1017,powiat,10,łódzkie,927.0
275,051011818000,wieruszowski,577.0,2020,1018,powiat,10,łódzkie,340.0
276,051011902000,kutnowski,887.0,2020,1002,powiat,10,łódzkie,1710.0
277,051011904000,łęczycki,773.0,2020,1004,powiat,10,łódzkie,656.0
278,051011905000,łowicki,988.0,2020,1005,powiat,10,łódzkie,777.0
279,051011913000,rawski,646.0,2020,1013,powiat,10,łódzkie,283.0
280,051011915000,skierniewicki,753.0,2020,1015,powiat,10,łódzkie,300.0
18,052615204000,kielecki,2246.0,2020,2604,powiat,26,świętokrzyskie,2691.0
281,052615205000,konecki,1139.0,2020,2605,powiat,26,świętokrzyskie,1460.0
282,052615207000,ostrowiecki,617.0,2020,2607,powiat,26,świętokrzyskie,1641.0
283,052615211000,starachowicki,523.0,2020,2611,powiat,26,świętokrzyskie,1604.0
284,052615261000,Kielce,110.0,2020,2661,miasto na prawach powiatu,26,świętokrzyskie,2736.0
285,052615301000,buski,968.0,2020,2601,powiat,26,świętokrzyskie,551.0
286,052615302000,jędrzejowski,1257.0,2020,2602,powiat,26,świętokrzyskie,1293.0
287,052615303000,kazimierski,422.0,2020,2603,powiat,26,świętokrzyskie,644.0
346,071412865000,Warszawa,517.0,2020,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,7777.0
288,052615306000,opatowski,911.0,2020,2606,powiat,26,świętokrzyskie,1687.0
289,052615308000,pińczowski,613.0,2020,2608,powiat,26,świętokrzyskie,629.0
290,052615309000,sandomierski,676.0,2020,2609,powiat,26,świętokrzyskie,1243.0
347,071412908000,legionowski,391.0,2020,1408,powiat,14,mazowieckie,1146.0
291,052615312000,staszowski,925.0,2020,2612,powiat,26,świętokrzyskie,850.0
11,071427164000,Siedlce,32.0,2020,1464,miasto na prawach powiatu,14,mazowieckie,613.0
292,052615313000,włoszczowski,908.0,2020,2613,powiat,26,świętokrzyskie,699.0
32,060610901000,bialski,2754.0,2020,0601,powiat,06,lubelskie,2290.0
12,071427306000,grójecki,1268.0,2020,1406,powiat,14,mazowieckie,387.0
293,060610913000,parczewski,952.0,2020,0613,powiat,06,lubelskie,466.0
294,060610915000,radzyński,965.0,2020,0615,powiat,06,lubelskie,743.0
295,060610919000,włodawski,1256.0,2020,0619,powiat,06,lubelskie,1172.0
28,060611002000,biłgorajski,1681.0,2020,0602,powiat,06,lubelskie,909.0
29,060611003000,chełmski,1886.0,2020,0603,powiat,06,lubelskie,1778.0
30,060611004000,hrubieszowski,1268.0,2020,0604,powiat,06,lubelskie,1722.0
296,060611006000,krasnostawski,1032.0,2020,0606,powiat,06,lubelskie,1771.0
297,060611018000,tomaszowski,1489.0,2020,0618,powiat,06,lubelskie,1174.0
300,060611108000,lubartowski,1289.0,2020,0608,powiat,06,lubelskie,2264.0
301,060611110000,łęczyński,637.0,2020,0610,powiat,06,lubelskie,605.0
302,060611117000,świdnicki,468.0,2020,0617,powiat,06,lubelskie,1170.0
303,060611163000,Lublin,148.0,2020,0663,miasto na prawach powiatu,06,lubelskie,4703.0
304,060611205000,janowski,876.0,2020,0605,powiat,06,lubelskie,1171.0
305,060611207000,kraśnicki,1005.0,2020,0607,powiat,06,lubelskie,2556.0
306,060611211000,łukowski,1394.0,2020,0611,powiat,06,lubelskie,791.0
307,060611212000,opolski,810.0,2020,0612,powiat,06,lubelskie,1219.0
308,060611214000,puławski,934.0,2020,0614,powiat,06,lubelskie,1134.0
309,060611216000,rycki,615.0,2020,0616,powiat,06,lubelskie,797.0
310,061813301000,bieszczadzki,1139.0,2020,1801,powiat,18,podkarpackie,659.0
311,061813302000,brzozowski,539.0,2020,1802,powiat,18,podkarpackie,2440.0
312,061813305000,jasielski,831.0,2020,1805,powiat,18,podkarpackie,2917.0
313,061813307000,krośnieński,993.0,2020,1807,powiat,18,podkarpackie,764.0
314,061813317000,sanocki,1156.0,2020,1817,powiat,18,podkarpackie,1322.0
315,061813321000,leski,835.0,2020,1821,powiat,18,podkarpackie,929.0
317,061813404000,jarosławski,1029.0,2020,1804,powiat,18,podkarpackie,3067.0
318,061813409000,lubaczowski,1308.0,2020,1809,powiat,18,podkarpackie,840.0
319,061813413000,przemyski,1211.0,2020,1813,powiat,18,podkarpackie,1917.0
320,061813414000,przeworski,698.0,2020,1814,powiat,18,podkarpackie,2124.0
322,061813506000,kolbuszowski,774.0,2020,1806,powiat,18,podkarpackie,832.0
323,061813510000,łańcucki,452.0,2020,1810,powiat,18,podkarpackie,1609.0
324,061813515000,ropczycko-sędziszowski,548.0,2020,1815,powiat,18,podkarpackie,1544.0
33,061813516000,rzeszowski,1147.0,2020,1816,powiat,18,podkarpackie,3433.0
